query_description,query_code,true_usda_code,candidate_description,candidate_code,candidate_usda_code,forward_similarity,backward_similarity,is_correct_match
beef boneless rib lifter meat choice,12400400,Cap & Wedge,"beef ground 1"" lifter meat-choice",18200015,NOT_FOUND,0.7572300434112549,0.7572301159833015,False
beef bottom round flat,43330,171 B 3 Round outside round flat,beef flat round choice,43330,171 B 3 Round outside round flat,0.860426127910614,0.8604262792435078,True
beef bottom round flat,43330,171 B 3 Round outside round flat,beef bottom round flat ibp,43331,NOT_FOUND,0.8553597927093506,0.8553600019690625,False
beef bottom round flat,43330,171 B 3 Round outside round flat,beef bottom round flat ch gop,30371,NOT_FOUND,0.8326134085655212,0.8326131792996463,False
beef bottom round flat,43330,171 B 3 Round outside round flat,beef round flats,14450400,NOT_FOUND,0.8016580939292908,0.80165835582831,False
beef bottom round flat,43330,171 B 3 Round outside round flat,"flat bottom round, diamond beef (aaa)",11303344,NOT_FOUND,0.7816445827484131,0.7816445343252005,False
beef brisket 120 choice (ui),15000500,120 1 brisket deckle off,beef brisket 120 choice-ibp,15000400,NOT_FOUND,0.8640846610069275,0.8640844205553622,False
beef brisket 120 choice (ui),15000500,120 1 brisket deckle off,beef brisket choice*,SP121,NOT_FOUND,0.8217036724090576,0.8217035846603027,False
beef brisket 120 choice (ui),15000500,120 1 brisket deckle off,beef brisket 120 choice angus,15000590,NOT_FOUND,0.8051341772079468,0.8051344219825689,False
beef brisket 120 choice (ui),15000500,120 1 brisket deckle off,beef brisket 120 choice light,15000910,NOT_FOUND,0.7727201581001282,0.7727198844376659,False
beef brisket 120 choice (ui),15000500,120 1 brisket deckle off,beef brisket 120 prime,15000600,NOT_FOUND,0.7368341684341431,0.7368342832092809,False
beef brisket ad code,40367,120 1 brisket deckle off,beef brisket 120 choice (ui),15000500,120 1 brisket deckle off,0.6543470621109009,0.6543468646558616,True
beef brisket ad code,40367,120 1 brisket deckle off,"brisket beef, ch",114000,NOT_FOUND,0.6088208556175232,0.6088208841483784,False
beef brisket ad code,40367,120 1 brisket deckle off,"brisket beef, ch, 9-11a",114001,120 1 brisket deckle off,0.5990469455718994,0.5990470532843852,True
beef brisket ad code,40367,120 1 brisket deckle off,beef brisket 120 prime,15000600,NOT_FOUND,0.5964230895042419,0.596422733564982,False
beef brisket ad code,40367,120 1 brisket deckle off,beef ch brisket,40367,120 1 brisket deckle off,0.5955731868743896,0.5955731730871173,True
beef brisket creekstone angus,40367,120 1 brisket deckle off,"brisket beef, creekstone angus",113000,NOT_FOUND,0.9722431302070618,0.9722431937719078,False
beef brisket creekstone angus,40367,120 1 brisket deckle off,beef brisket waygu creekstone,40368,NOT_FOUND,0.8467704057693481,0.8467702995149758,False
beef brisket creekstone angus,40367,120 1 brisket deckle off,beef brisket 120 choice angus,15000590,NOT_FOUND,0.8035860061645508,0.803585834250615,False
beef brisket creekstone angus,40367,120 1 brisket deckle off,beef brisket flat angus choice,15100500,NOT_FOUND,0.7685992121696472,0.7685992097945837,False
beef brisket creekstone angus,40367,120 1 brisket deckle off,"brisket bnls, upper iowa (ch_angus)",12013333,NOT_FOUND,0.7479696869850159,0.7479699113568722,False
beef ch brisket,40367,120 1 brisket deckle off,"brisket beef, ch",114000,NOT_FOUND,0.9682468771934509,0.9682467808641282,False
beef ch brisket,40367,120 1 brisket deckle off,"brisket beef, ch, 9-11a",114001,120 1 brisket deckle off,0.856955349445343,0.8569552881347251,True
beef ch brisket,40367,120 1 brisket deckle off,beef brisket choice*,SP121,NOT_FOUND,0.8291090130805969,0.8291094384270999,False
beef ch brisket,40367,120 1 brisket deckle off,beef sel brisket,40366,NOT_FOUND,0.8231077194213867,0.823107365772727,False
beef ch brisket,40367,120 1 brisket deckle off,bf brisket bnl ch str,1004A2I1,NOT_FOUND,0.8002404570579529,0.8002402200811513,False
beef ch xt top butt,44200,184 3 Top butt bnls,beef sel xt top butt,44260,NOT_FOUND,0.9229761958122253,0.9229765898914515,False
beef ch xt top butt,44200,184 3 Top butt bnls,beef ch xt top butt cc gop,37584,NOT_FOUND,0.9074715971946716,0.9074714146966305,False
beef ch xt top butt,44200,184 3 Top butt bnls,beef top sirloin butt xt choice,13600410,NOT_FOUND,0.8437061905860901,0.8437056715783594,False
beef ch xt top butt,44200,184 3 Top butt bnls,beef top butt xt pr gop,54184,NOT_FOUND,0.8317272067070007,0.831727240529406,False
beef ch xt top butt,44200,184 3 Top butt bnls,"top sirloin butt xt, nebraska beef (ch)",15101874,NOT_FOUND,0.7861083149909973,0.7861082309484841,False
beef chuck clod choice xt hearts,11100500,114 A 3 shoulder clod,beef chuck clod nr xt,11100201,NOT_FOUND,0.8313896059989929,0.8313896242560834,False
beef chuck clod choice xt hearts,11100500,114 A 3 shoulder clod,beef chuck clod select,11100300,NOT_FOUND,0.77320796251297,0.7732079842984685,False
beef chuck clod choice xt hearts,11100500,114 A 3 shoulder clod,beef chuck clod tender choice,11400400,114f Clod Tender (teres major),0.7384045124053955,0.7384045383640843,False
beef chuck clod choice xt hearts,11100500,114 A 3 shoulder clod,beef chuck clod tender nr,11400200,NOT_FOUND,0.7285977602005005,0.7285979035356017,False
beef chuck clod choice xt hearts,11100500,114 A 3 shoulder clod,beef chuck clod prime,11100600,NOT_FOUND,0.6872051358222961,0.6872051256691072,False
beef chuck clod tender choice,11400400,114f Clod Tender (teres major),beef chuck clod tender nr,11400200,NOT_FOUND,0.9090253114700317,0.9090256675829047,False
beef chuck clod tender choice,11400400,114f Clod Tender (teres major),beef chuck clod select,11100300,NOT_FOUND,0.8511461019515991,0.8511461244529988,False
beef chuck clod tender choice,11400400,114f Clod Tender (teres major),beef chuck tenderloin choice,11403400,NOT_FOUND,0.824206531047821,0.8242067848970145,False
beef chuck clod tender choice,11400400,114f Clod Tender (teres major),beef chuck tender,48500,NOT_FOUND,0.8067317605018616,0.8067322747213953,False
beef chuck clod tender choice,11400400,114f Clod Tender (teres major),beef chuck clod prime,11100600,NOT_FOUND,0.7659784555435181,0.7659784383426174,False
beef chuck flap tail choice (ui)angus,11300490,116g Chuck Flap,beef chuck flap tail choice,11320400,NOT_FOUND,0.8451378345489502,0.8451379466967095,False
beef chuck flap tail choice (ui)angus,11300490,116g Chuck Flap,beef chuck 2pc angus,11000502,NOT_FOUND,0.7718130946159363,0.7718129801171729,False
beef chuck flap tail choice (ui)angus,11300490,116g Chuck Flap,beef sirloin flap meat choice angus ui,13808000,185 A 4 Bottom sirloin or “flap meat”,0.7591524720191956,0.7591523252945507,False
beef chuck flap tail choice (ui)angus,11300490,116g Chuck Flap,beef angus gold chuckroll,42603,NOT_FOUND,0.753803014755249,0.7538031436108349,False
beef chuck flap tail choice (ui)angus,11300490,116g Chuck Flap,beef chuck flap tail 5oz,11300005,NOT_FOUND,0.7328806519508362,0.7328810515371826,False
beef chuck pectoral meat choice,11910000,Pectoral,beef pectoral meat,41950,Pectoral,0.8161120414733887,0.8161118096005666,True
beef chuck pectoral meat choice,11910000,Pectoral,beef choice chuck blade,48310,NOT_FOUND,0.8052133917808533,0.805212949748696,False
beef chuck pectoral meat choice,11910000,Pectoral,pectoral meat,120006,Pectoral,0.7676808834075928,0.7676805022139099,True
beef chuck pectoral meat choice,11910000,Pectoral,beef chuck tenderloin choice,11403400,NOT_FOUND,0.764000654220581,0.7639999851326287,False
beef chuck pectoral meat choice,11910000,Pectoral,beef chuck clod tender choice,11400400,114f Clod Tender (teres major),0.7602059245109558,0.7602056124106954,False
"beef chuck roll choice 1/4"" n\off",42600,116 A 3 chuck roll,"beef chuck roll select 1/4"" n\off",42602,NOT_FOUND,0.9695080518722534,0.9695081737512822,False
"beef chuck roll choice 1/4"" n\off",42600,116 A 3 chuck roll,"beef chuck roll 1/4"" n\off ibp choice",42601,NOT_FOUND,0.9301670789718628,0.9301665289751464,False
"beef chuck roll choice 1/4"" n\off",42600,116 A 3 chuck roll,"beef chuck roll ch gop 1/4"" n\off",33116,NOT_FOUND,0.873965322971344,0.8739653812243622,False
"beef chuck roll choice 1/4"" n\off",42600,116 A 3 chuck roll,"beef chuck roll-neckoff sliced 1/8 """,11202018,NOT_FOUND,0.8356850743293762,0.8356846604947153,False
"beef chuck roll choice 1/4"" n\off",42600,116 A 3 chuck roll,"beef chuck roll cab gop 1/4"" n\off",13116,NOT_FOUND,0.8165261149406433,0.8165260620049193,False
beef chuck roll-neckoff choice (ui),11200500,116 A 3 chuck roll,beef chuck roll-neckoff nr,112002JB,NOT_FOUND,0.8465095162391663,0.8465097784824467,False
beef chuck roll-neckoff choice (ui),11200500,116 A 3 chuck roll,beef chuck top blade choice (ui),11101300,NOT_FOUND,0.7656736969947815,0.7656738838484749,False
beef chuck roll-neckoff choice (ui),11200500,116 A 3 chuck roll,beef chuck tenderloin choice,11403400,NOT_FOUND,0.7568138241767883,0.7568140577966346,False
beef chuck roll-neckoff choice (ui),11200500,116 A 3 chuck roll,"beef chuck roll-neckoff sliced 1/8 """,11202018,NOT_FOUND,0.7392348051071167,0.7392345291330858,False
beef chuck roll-neckoff choice (ui),11200500,116 A 3 chuck roll,beef choice chuck blade,48310,NOT_FOUND,0.7356927394866943,0.735692751897368,False
beef chuck short ribs (ui),11310500,130 4 chuck short rib,beef chuck short ribs (ui)-pack 1per,11310510,NOT_FOUND,0.8354604244232178,0.8354607791596327,False
beef chuck short ribs (ui),11310500,130 4 chuck short rib,beef chuck short ribs- bone in,11321441,NOT_FOUND,0.8087939620018005,0.8087941010791139,False
beef chuck short ribs (ui),11310500,130 4 chuck short rib,beef chuck short ribs boneless,11321000,NOT_FOUND,0.7957149147987366,0.7957151900378729,False
beef chuck short ribs (ui),11310500,130 4 chuck short rib,beef chuck short ribs bone in,11310400,NOT_FOUND,0.7896591424942017,0.7896592558135154,False
beef chuck short ribs (ui),11310500,130 4 chuck short rib,beef short rib tips (ui),11912393,NOT_FOUND,0.7885859608650208,0.7885858190444106,False
beef chuck shortrib (4 bone),41500,130 4 chuck short rib,beef chuck short ribs- bone in,11321441,NOT_FOUND,0.819026529788971,0.8190260760449743,False
beef chuck shortrib (4 bone),41500,130 4 chuck short rib,beef chuck short ribs bone in,11310400,NOT_FOUND,0.8095473051071167,0.8095471579365172,False
beef chuck shortrib (4 bone),41500,130 4 chuck short rib,beef chuck short ribs boneless 4oz,11321404,NOT_FOUND,0.8080825209617615,0.8080822186891972,False
beef chuck shortrib (4 bone),41500,130 4 chuck short rib,beef boneless chuck 2pc,11000001,NOT_FOUND,0.8079535365104675,0.8079529350790153,False
beef chuck shortrib (4 bone),41500,130 4 chuck short rib,beef chuck short ribs 14 oz long bone,11311414,NOT_FOUND,0.7997531890869141,0.7997531227456447,False
beef eye of round choice,45300,171 C 3 Eye of round,beef round eyes choice,14300420,NOT_FOUND,0.95258629322052,0.9525864638113752,False
beef eye of round choice,45300,171 C 3 Eye of round,"eye of round, corned beef",170005,NOT_FOUND,0.8701179027557373,0.8701178751864858,False
beef eye of round choice,45300,171 C 3 Eye of round,beef eye of round ibp choice,45301,NOT_FOUND,0.8465633392333984,0.8465634467357855,False
beef eye of round choice,45300,171 C 3 Eye of round,"eye of round, ckd corned beef",170004,NOT_FOUND,0.8337815403938293,0.8337817172336768,False
beef eye of round choice,45300,171 C 3 Eye of round,beef round whole choice,14000400,NOT_FOUND,0.8327903747558594,0.8327903870907372,False
beef flank steak,40820,193 Flank,beef flank steak choice,17101412,NOT_FOUND,0.9482590556144714,0.9482589366842986,False
beef flank steak,40820,193 Flank,beef flank steak utility,17100200,NOT_FOUND,0.9269097447395325,0.9269099735284343,False
beef flank steak,40820,193 Flank,beef flank steak select,41940,NOT_FOUND,0.9133872985839844,0.9133871053746201,False
beef flank steak,40820,193 Flank,beef flank steak choice (ui),17100500,193 Flank,0.8946987986564636,0.8946991197826661,True
beef flank steak,40820,193 Flank,"flank steak, (ch)",13199984,NOT_FOUND,0.8875625729560852,0.8875621520235211,False
beef flank steak choice (ui),17100500,193 Flank,beef flank steak choice,17101412,NOT_FOUND,0.9296969175338745,0.9296968497800068,False
beef flank steak choice (ui),17100500,193 Flank,beef flank steak select,41940,NOT_FOUND,0.9087738990783691,0.9087739127313252,False
beef flank steak choice (ui),17100500,193 Flank,beef flank steak,40820,193 Flank,0.8946988582611084,0.8946990512975441,True
beef flank steak choice (ui),17100500,193 Flank,beef flank steak utility,17100200,NOT_FOUND,0.8810790181159973,0.8810791223630254,False
beef flank steak choice (ui),17100500,193 Flank,beef flank steak choice 5oz,17101405,NOT_FOUND,0.8236029148101807,0.8236031580055376,False
beef flap meat select,41210,185 A 4 Bottom sirloin or “flap meat”,beef flap meat choice,41211,NOT_FOUND,0.9346281886100769,0.934628456439367,False
beef flap meat select,41210,185 A 4 Bottom sirloin or “flap meat”,chuck flap meat beef,120005,116g Chuck Flap,0.7764687538146973,0.7764690792781781,False
beef flap meat select,41210,185 A 4 Bottom sirloin or “flap meat”,beef sirloin flap meat choice angus ui,13808000,185 A 4 Bottom sirloin or “flap meat”,0.735579788684845,0.7355796960337639,True
beef flap meat select,41210,185 A 4 Bottom sirloin or “flap meat”,beef lifter meat choice,43725,NOT_FOUND,0.7101632952690125,0.7101629532847898,False
beef flap meat select,41210,185 A 4 Bottom sirloin or “flap meat”,beef round inside choice,14500401,NOT_FOUND,0.6962055563926697,0.696205358100839,False
beef flat round choice,43330,171 B 3 Round outside round flat,beef round whole choice,14000400,NOT_FOUND,0.910771369934082,0.9107714969769398,False
beef flat round choice,43330,171 B 3 Round outside round flat,beef round flats choice,14401414,NOT_FOUND,0.9086352586746216,0.908635338707549,False
beef flat round choice,43330,171 B 3 Round outside round flat,beef round flat choice (ui),14400500,171 B 3 Round outside round flat,0.8920914530754089,0.8920918146798547,True
beef flat round choice,43330,171 B 3 Round outside round flat,beef bottom round flat,43330,171 B 3 Round outside round flat,0.8604259490966797,0.8604262570468811,True
beef flat round choice,43330,171 B 3 Round outside round flat,beef round flats,14450400,NOT_FOUND,0.8569254875183105,0.8569253736506335,False
"beef flats, ch, cs, 8-12#avg",154080,171 B 3 Round outside round flat,"beef flats, ch, 8-12#avg",154120,NOT_FOUND,0.9694901704788208,0.9694905672199007,False
"beef flats, ch, cs, 8-12#avg",154080,171 B 3 Round outside round flat,beef round flats choice,14401414,NOT_FOUND,0.6719235777854919,0.6719237154214501,False
"beef flats, ch, cs, 8-12#avg",154080,171 B 3 Round outside round flat,"beef tenderloin, ss, 4up, cs lot",140049,NOT_FOUND,0.6648285388946533,0.6648283278586767,False
"beef flats, ch, cs, 8-12#avg",154080,171 B 3 Round outside round flat,"ground beef, 73%, afg (8/10#)",19241050,NOT_FOUND,0.663466215133667,0.6634665072486077,False
"beef flats, ch, cs, 8-12#avg",154080,171 B 3 Round outside round flat,"ground beef, 81%, afg (8/10#)",19001050,NOT_FOUND,0.6621764302253723,0.6621767535636829,False
beef ground 81/19 60 lb cs go,18260001,Ground beef 81%,ground beef 81/19 60#,42302,NOT_FOUND,0.8411781191825867,0.8411777936554582,False
beef ground 81/19 60 lb cs go,18260001,Ground beef 81%,"beef ground 80/20, 10lb",190801,NOT_FOUND,0.819546103477478,0.8195457949104537,False
beef ground 81/19 60 lb cs go,18260001,Ground beef 81%,ground beef 81% fine cs beef (40#),19111070,NOT_FOUND,0.8143089413642883,0.8143084350727537,False
beef ground 81/19 60 lb cs go,18260001,Ground beef 81%,ground beef 73% fine 8-10lb caviness,19163660,NOT_FOUND,0.8104548454284668,0.8104543920024183,False
beef ground 81/19 60 lb cs go,18260001,Ground beef 81%,"beef ground, 90/10, 10lb",190901,NOT_FOUND,0.8103755712509155,0.8103752483659694,False
"beef ground, 75/25, 5lb",190750,Ground beef 73%,"beef ground, 80/20, 5lb",190805,Ground beef 81%,0.9487137794494629,0.948713790996196,False
"beef ground, 75/25, 5lb",190750,Ground beef 73%,"beef ground, 85/15, 5lb",190855,NOT_FOUND,0.943294882774353,0.9432947956629509,False
"beef ground, 75/25, 5lb",190750,Ground beef 73%,"beef ground, 90/10, 5lb",190900,NOT_FOUND,0.9423044919967651,0.9423041552516143,False
"beef ground, 75/25, 5lb",190750,Ground beef 73%,"beef ground 80/20, 10lb",190801,NOT_FOUND,0.9021986126899719,0.9021991764656426,False
"beef ground, 75/25, 5lb",190750,Ground beef 73%,"beef ground, 90/10, 10lb",190901,NOT_FOUND,0.9018388390541077,0.901838912397561,False
"beef ground, 80/20, 5lb",190805,Ground beef 81%,"beef ground 80/20, 10lb",190801,NOT_FOUND,0.9658756256103516,0.965875675704155,False
"beef ground, 80/20, 5lb",190805,Ground beef 81%,"beef ground, 85/15, 5lb",190855,NOT_FOUND,0.9577885866165161,0.9577882014789294,False
"beef ground, 80/20, 5lb",190805,Ground beef 81%,"beef ground, 90/10, 5lb",190900,NOT_FOUND,0.957337498664856,0.9573375027051896,False
"beef ground, 80/20, 5lb",190805,Ground beef 81%,"beef ground, 75/25, 5lb",190750,Ground beef 73%,0.9487140774726868,0.9487138168360967,False
"beef ground, 80/20, 5lb",190805,Ground beef 81%,"beef ground, 90/10, 10lb",190901,NOT_FOUND,0.9306017756462097,0.9306017727943371,False
"beef inside round choice xt 1/4""",41300,168 3 top round inside XT,"beef inside round ch gop xt 1/4""",32168,NOT_FOUND,0.875053346157074,0.875053507963953,False
"beef inside round choice xt 1/4""",41300,168 3 top round inside XT,beef inside round choice,14500800,NOT_FOUND,0.8275481462478638,0.8275482420416465,False
"beef inside round choice xt 1/4""",41300,168 3 top round inside XT,"beef inside round cab gop xt 1/4""",12168,NOT_FOUND,0.8222165703773499,0.8222168936610861,False
"beef inside round choice xt 1/4""",41300,168 3 top round inside XT,beef round inside choice,14500401,NOT_FOUND,0.8098506927490234,0.809850939460351,False
"beef inside round choice xt 1/4""",41300,168 3 top round inside XT,beef round inside choice xt (ui),14500500,168 3 top round inside XT,0.7930616736412048,0.7930619069274509,True
beef inside skirt,46610,121 D 4 Inside skirt,beef inside skirt choice,46670,NOT_FOUND,0.9541353583335876,0.9541359111753664,False
beef inside skirt,46610,121 D 4 Inside skirt,beef outside skirt choice,16240000,NOT_FOUND,0.9203277230262756,0.9203279399446735,False
beef inside skirt,46610,121 D 4 Inside skirt,beef outside skirt pieces,16290100,NOT_FOUND,0.9081334471702576,0.9081332323203202,False
beef inside skirt,46610,121 D 4 Inside skirt,beef inner skirts,16140001,NOT_FOUND,0.8903003931045532,0.8903002524241344,False
beef inside skirt,46610,121 D 4 Inside skirt,beef inside skirt angus,46600,NOT_FOUND,0.8847925662994385,0.8847923398966488,False
beef knuckle peeled choice (ui),14240500,167 A 4 knuckles,beef peeled knuckle choice,41600,167 A 4 knuckles,0.927786111831665,0.9277860869460292,True
beef knuckle peeled choice (ui),14240500,167 A 4 knuckles,beef knuckle peeled choice sliced,14240503,NOT_FOUND,0.8846482038497925,0.8846480798110841,False
beef knuckle peeled choice (ui),14240500,167 A 4 knuckles,beef peeled knuckle ibp choice,41601,NOT_FOUND,0.8508159518241882,0.8508157840895032,False
beef knuckle peeled choice (ui),14240500,167 A 4 knuckles,beef bell knuckle choice (ui),14240502,NOT_FOUND,0.8263561725616455,0.8263557029725526,False
beef knuckle peeled choice (ui),14240500,167 A 4 knuckles,beef knuckle peeled halal,14240400,NOT_FOUND,0.7933950424194336,0.7933947565551869,False
"beef knuckle, peeled, ch, 8/13#cas",194830,167 A 4 knuckles,"beef knuckle, peeled, ch, 8/13#",194813,NOT_FOUND,0.9328208565711975,0.9328206757135614,False
"beef knuckle, peeled, ch, 8/13#cas",194830,167 A 4 knuckles,beef peeled knuckle choice,41600,167 A 4 knuckles,0.743097186088562,0.7430970722465188,True
"beef knuckle, peeled, ch, 8/13#cas",194830,167 A 4 knuckles,"knuckle pld, diamond beef (aaa)",11123344,NOT_FOUND,0.7250131964683533,0.7250132164206915,False
"beef knuckle, peeled, ch, 8/13#cas",194830,167 A 4 knuckles,"beef tenderloin, peeled, angus, ch, 5up",142050,NOT_FOUND,0.7201025485992432,0.7201026365203246,False
"beef knuckle, peeled, ch, 8/13#cas",194830,167 A 4 knuckles,"knuckle pld, nebraska beef (ch_angus)",11121873,NOT_FOUND,0.7072694897651672,0.7072693731063548,False
beef lipon choice frozen,43720,109E 1 Rib ribeye lip-on bn-in_Choice,beef lipon select up,43711,NOT_FOUND,0.7613467574119568,0.7613466968780205,False
beef lipon choice frozen,43720,109E 1 Rib ribeye lip-on bn-in_Choice,beef lipon choice dn gop,32212,NOT_FOUND,0.7364406585693359,0.7364408426785489,False
beef lipon choice frozen,43720,109E 1 Rib ribeye lip-on bn-in_Choice,beef lipon select down,43710,NOT_FOUND,0.7335233092308044,0.7335232665563701,False
beef lipon choice frozen,43720,109E 1 Rib ribeye lip-on bn-in_Choice,"beef ground frozen, 54/10oz",190033,NOT_FOUND,0.674448549747467,0.6744483956067854,False
beef lipon choice frozen,43720,109E 1 Rib ribeye lip-on bn-in_Choice,beef ground frozen,SP100,NOT_FOUND,0.6723468899726868,0.6723467296721168,False
beef loin ball tip choice-2 up,13800403,185b Ball Tip,beef ball tips 2 up,44002,NOT_FOUND,0.8922898173332214,0.8922899955429632,False
beef loin ball tip choice-2 up,13800403,185b Ball Tip,beef ball tip 2 up,13800102,NOT_FOUND,0.8795819878578186,0.8795815655656681,False
beef loin ball tip choice-2 up,13800403,185b Ball Tip,beef loin ball tip choice pinned,13800405,NOT_FOUND,0.8540200591087341,0.8540197871552997,False
beef loin ball tip choice-2 up,13800403,185b Ball Tip,beef loin ball tip boneless choice 8oz,13800408,NOT_FOUND,0.8145241141319275,0.814523908175266,False
beef loin ball tip choice-2 up,13800403,185b Ball Tip,beef ball tips ibp ch,44300,185b Ball Tip,0.8067883253097534,0.8067879561925297,True
beef ny strip steaks ch 8/9oz*,SP131,175 3 Loin strip loin 1x1_Choice,beef strip loin steak 8oz,13410080,NOT_FOUND,0.8751363754272461,0.8751360040673324,False
beef ny strip steaks ch 8/9oz*,SP131,175 3 Loin strip loin 1x1_Choice,"strip steak ny, ch, 12oz",144124,NOT_FOUND,0.8701465129852295,0.8701460521045851,False
beef ny strip steaks ch 8/9oz*,SP131,175 3 Loin strip loin 1x1_Choice,beef strip loin steak choice 9oz,13420409,NOT_FOUND,0.862850546836853,0.8628507648119602,False
beef ny strip steaks ch 8/9oz*,SP131,175 3 Loin strip loin 1x1_Choice,"strip steak ny, angus, ch, 12/14oz",142110,NOT_FOUND,0.8605733513832092,0.8605732227906892,False
beef ny strip steaks ch 8/9oz*,SP131,175 3 Loin strip loin 1x1_Choice,beef strip loin steak 10oz,13410010,NOT_FOUND,0.8595465421676636,0.8595466322506733,False
beef outside skirt choice (ui),16280500,121 C 4 Outside skirt,beef outside skirt choice,16240000,NOT_FOUND,0.9342897534370422,0.9342898964118345,False
beef outside skirt choice (ui),16280500,121 C 4 Outside skirt,beef inner skirts choice (ui),16180500,NOT_FOUND,0.9288017153739929,0.9288016463673496,False
beef outside skirt choice (ui),16280500,121 C 4 Outside skirt,beef inside skirt choice,46670,NOT_FOUND,0.9261438250541687,0.9261437720297383,False
beef outside skirt choice (ui),16280500,121 C 4 Outside skirt,beef outside skirt peeled choice (ui),16210500,NOT_FOUND,0.9183656573295593,0.9183656862374475,False
beef outside skirt choice (ui),16280500,121 C 4 Outside skirt,beef inner skirts choice,16180300,NOT_FOUND,0.8753095269203186,0.8753093763802129,False
beef outside skirt pld,46671,121 C 4 Outside skirt,beef outside skirt choice,16240000,NOT_FOUND,0.8925644755363464,0.8925641854869704,False
beef outside skirt pld,46671,121 C 4 Outside skirt,beef inside skirt,46610,121 D 4 Inside skirt,0.8826801776885986,0.8826801559698998,False
beef outside skirt pld,46671,121 C 4 Outside skirt,beef outside skirt pieces,16290100,NOT_FOUND,0.8715175986289978,0.8715176249021445,False
beef outside skirt pld,46671,121 C 4 Outside skirt,beef outside skirt prime,16200600,NOT_FOUND,0.8643538951873779,0.8643539293539877,False
